邮件ID	邮件存在天数（0-永久，非0-指定天数），均为领取后消失	发件人	邮件名称	邮件内容
id	time	addresser	name	text
Int	Int	String	String	String
4	7	竞技场管理员	每日排名奖励	您在竞技场的精彩表现有目共睹。截至今日21:00，您在{1}竞技场排名为{2}名，授予您以下奖励。
12	7	王者之战管理员	积分赛奖励	您在王者之战积分赛中排名为{1}名，授予您以下奖励。
13	7	王者之战管理员	决赛奖励	您在王者之战决赛中排名{1}名，授予您以下奖励。
15	7	王城管理员	爵位奖励	您在王城争霸中荣获{1}，授予您以下奖励。
19	7	军团管理员	踢出军团提醒	您已被踢出{1}军团。
20	7	军团管理员	军团篝火	今日军团篝火活动已结束，以下为您所获取的奖励。
22	7	军团长	军团长的来信	欢迎加入{1}级军团{2}，让我们一起建设出最强军团吧！
26	7	军团管理员	领地矿藏产出	感谢您在强大的敌人面前悍不畏死，这是今日军团领地矿藏产出。
29	7	军团管理员	领地BOSS归属奖励	您的军团抢到了领地BOSS归属权，这是您的奖励。
30	7	军团管理员	领地BOSS排名奖励	您展现了强大的战力，这是您的领地BOSS伤害排名奖励。
32	7	军团管理员	军团战胜利通知	本轮军团战结束，您的军团在战斗中大获全胜，这是您的奖励。
33	7	军团管理员	军团战战败通知	本轮军团战结束，很遗憾您的军团并未战胜对手，这是您的奖励。
34	7	军团管理员	军团战修筑奖励	本轮军团战备战已结束，感谢您对军团作出的贡献，这是您遗忘的修筑奖励。
40	7	村庄管理员	村庄地块奖励	您的地块 {1} 占领时间已到，获得以下奖励。
41	7	村庄管理员	村庄地块失守	您的地块 {1} 被 {2} 抢占，累计占领时长 {3} ，获得以下奖励。
42	7	村庄管理员	村庄领主奖励	伟大的领主，今日村庄 {1}  中的资源已经枯竭，这是您的收获。
43	7	村庄管理员	村庄领主奖励	伟大的领主，这是您昨日在村庄  {1} 中的收获。
44	7	村庄管理员	村庄领主奖励	伟大的领主，您在 {1} 时 {2} 分主动撤离了村庄 {3} ，这是您的收获。
45	7	村庄管理员	村庄失守	伟大的领主，您在 {1} 时 {2} 分失去了村庄 {3} 的控制权，这是您的收获。
46	7	战队管理员	战队解散	遗憾的通知您，战队队长 {1} 解散了原 {2} 战队。
47	7	战队管理员	战队解散	遗憾的通知您，由于战队全员离线超过 {1}天，{2}战队已自动解散 。
51	7	军团管理员	军团BOSS参与奖	很高兴您能与大家一起共同击杀BOSS，这是您的奖励。
52	7	军团管理员	军团BOSS首杀奖	经过军团成员的共同努力，首次推到了{1}级军团BOSS，这是您的奖励。
53	7	军团管理员	军团BOSS排名奖	您的军团在今日军团BOSS挑战中全服排名第{1}名，这是您的奖励。
1006	7	活动管理员	开服等级排行榜	恭喜领主在开服等级排行榜活动中，排名第{1}，获得以下奖励。
1007	7	活动管理员	5日强者榜通知	恭喜您在5日强者排行榜活动中，排名第{1}，获得以下奖励。
1008	7	活动管理员	10日王者榜通知	恭喜您在10日王者排行榜活动中，排名第{1}，获得以下奖励。
1009	7	活动管理员	15日至尊榜通知	恭喜您在15日至尊排行榜活动中，排名第{1}，获得以下奖励。
1010	7	先知	先知的来信	唔，年轻的冒险者，欢迎来到这个世界！仿佛你就是预言中征服大陆的那个人。请接受我的祝福。
1012	30	系统管理员	删档测试充值返还福利	您在删档计费测试期间，累计充值{1}元，感谢您对游戏的大力支持，这是您的返还福利。
1013	7	系统管理员	特权卡补偿	您的特权卡累计天数过高导致您无法续充，这是您的补偿。
1014	7	活动管理员	充值排行通知	恭喜您充值排行榜活动中，排名第{1}，获得以下奖励。
1015	7	活动管理员	消费排行通知	恭喜您消费排行榜活动中，排名第{1}，获得以下奖励。
1016	360	系统管理员	第三方充值	你已经成功充值。请继续享受和体验游戏。 
